  pre-existing, untouched by this transaction: 'LAUNCH Weekly - Autumn'!C35 carries 2 recommended (Science_Teesside/Launch/SCI_L_W4_L1_Diffusion.html, Science_Teesside/Launch/SCI_L_W4_L3_ExamSkills.html)
| cell | termWeek | files | recommended | alternative |
|---|---|---|---|---|
| 'BUILD Weekly - Autumn'!C130 | Aut1·W1 | 3 | BUILD_ASDAN/FoodWise/FW_W1_Food_Groups.html | BUILD_ASDAN/FoodWise/BUILD_FOOD_W1.html |
| 'BUILD Weekly - Autumn'!C131 | Aut1·W2 | 3 | BUILD_ASDAN/FoodWise/FW_W2_A_Balanced_Plate.html | BUILD_ASDAN/FoodWise/BUILD_FOOD_W2.html |
| 'BUILD Weekly - Autumn'!C132 | Aut1·W3 | 3 | BUILD_ASDAN/FoodWise/BUILD_FOOD_W3.html | BUILD_ASDAN/FoodWise/FW_W3_Reading_Labels.html |
| 'BUILD Weekly - Autumn'!C133 | Aut1·W4 | 3 | BUILD_ASDAN/FoodWise/BUILD_FOOD_W4.html | BUILD_ASDAN/FoodWise/FW_W4_Kitchen_Hygiene_and_Safety.html |
| 'BUILD Weekly - Autumn'!C134 | Aut1·W5 | 3 | BUILD_ASDAN/FoodWise/BUILD_FOOD_W5.html | BUILD_ASDAN/FoodWise/FW_W5_Prepare_a_Healthy_Snack.html |
| 'BUILD Weekly - Autumn'!C135 | Aut1·W6 | 3 | BUILD_ASDAN/FoodWise/BUILD_FOOD_W6.html | BUILD_ASDAN/FoodWise/FW_W6_Plan_a_Healthy_Meal.html |
| 'BUILD Weekly - Autumn'!C137 | Aut2·W1 | 2 | — | — |
| 'BUILD Weekly - Autumn'!C138 | Aut2·W2 | 3 | — | — |
| 'BUILD Weekly - Autumn'!C139 | Aut2·W3 | 3 | — | — |
| 'BUILD Weekly - Autumn'!C140 | Aut2·W4 | 3 | — | — |
| 'BUILD Weekly - Autumn'!C141 | Aut2·W5 | 3 | — | — |
| 'BUILD Weekly - Autumn'!C142 | Aut2·W6 | 2 | — | — |
| 'BUILD Weekly - Autumn'!C144 | Aut1·W1 | 2 | — | — |
| 'BUILD Weekly - Autumn'!C151 | Aut2·W1 | 3 | — | — |
| 'BUILD Weekly - Autumn'!C152 | Aut2·W2 | 4 | — | — |
| 'BUILD Weekly - Autumn'!C153 | Aut2·W3 | 3 | — | — |
| 'BUILD Weekly - Autumn'!C154 | Aut2·W4 | 3 | — | — |
| 'BUILD Weekly - Autumn'!C155 | Aut2·W5 | 3 | — | — |
| 'BUILD Weekly - Autumn'!C156 | Aut2·W6 | 2 | — | — |
| 'BUILD Weekly - Autumn'!C181 | Aut2·W1 | 2 | — | — |
